id,best_version,times_written,variation_count,rating,sounds_like,maturity_rating,length_tag,subject_tags,style_tags,set_usage,all_variations
J0001,Slave one why'd you name your ship slave one? Did it get locked up for selling weed in the 90s?,93,17,100,Nikki Glaser,R / club material,short,dating/sex | religion/spiritual | misc/observational | family | drugs/sobriety | pop culture | technology | work/money,relationship | observational | personal,"Bathroom set (4 min) | Cup of Kava (10 min) | Cup of Kava set | Dive Motel Birthday Show headlining set. | Dive motel 10 min set | Good People Lounge 30 minutes | Good People set (15 min) | Greenlight (project, sing) | Imported laughs sep 17 2022 BG KY | Nashville All Stars 8 min (CLEAN) | Perfect Timing may 18 | Plane Jane set (10 min) | Shelbyville 15 minutes | Smokes n Jokes 5 min | Standup Showcase 8 min | Third Coast 4 min | Dirty Mic/Lab Rat Sep 4 2024 | Music Row Comedy Show | Superhero set (5 min) | Wiseguys 1/25/23 (3 mins)","Slave one why'd you name your ship slave one? Did it get locked up for selling weed in the 90s? | Cafe coco 4/28/23 Blue pee World Hungary Lady proctologist dentist Not as many teeth on this end Talks with her fingers in me How are the kids? Plrt Am I pooping? It feels like I'm pooping. Hyperhidrosis Super damp moist boy Bird plane it's raining? Supergirl Moist girl Blow through a straw Pokemon please stay Stolen hoodie Wife's happy life's happy emotional abuse Moms having a bad day everyone has a bad day. Do they only say that to children of alcoholics? Peter pan drive thru Speak Chinese Mustard coming out a mayonnaise bottle Kung Pao chicken on a snow cone Strip club grocery store Did you lose that finger during the fight? She said she used to be a proctologist! | JuicePoW 4/27/23 Blue pee World Hungary Hyperhidrosis Super damp moist boy Bird plane it's raining? Supergirl Moist girl Pokemon please stay Wife's happy life's happy emotional abuse Moms having a bad day everyone has a bad day. Do they only say that to children of alcoholics? Lady proctologist Small talk when I really don't wanna make small talk. Speak Chinese Mustard coming out a mayonnaise bottle Kung Pao chicken on a snow cone Betrothed MMA Did you lose that finger during the fight? She said she used to be a proctologist! | Superman Set Please thank you magic words Superman Blow thru a straw Gonna get her back Screamachu Pokemon please don't go! (crying) Almost a decade. Moved on. Just had sex last week. Finally... Stolen Hoodies Spermologist Emo kid to emo adult My chemical midlife crisis. Panic at the Costco (Sing) Irresponsible razor blades... Capitalism!!! Hair starting to fall out boy (Sing) Jimmy eat low-sodium world cuz Jimmy gets acid reflux My chemical reverse mortgage interest rates at an all-time low All-time low testosterone? Pluto astrojizzicist Not a planet until it pays taxes Capitalism!!! Blow straw Screamachu Stolen Hoodie Spermologist Emo adult Pluto. | Third coast 4/3/23 Heterochromia Blue pee Lady proctologist Spermologist Jizzicist Gauges? Ask your jizzician Bouncer strip club Stripper grocery store Stripper names Pluto astrojizzicist Always been a planet in Texas. | Grabdpa Bar Peter Pan Syndrome Creepy Alladin Slave one 90s sloppy top Reversed 90s sitcom couples 90's R&B she cheats Period sex bounce castle law tag Plan B for butt Pray the Chick fil a away All intensive purposes. | Coco 5/26/23 Blue pee Creepy Aladdin Diamonds in the rough Slave one Mommy What's a slave? Uncle Riko Spermologist Grown up emo kid Astrojizzicist. | Coco 3/24/23 All Rhymes Matter Backstreet broke Creepy Aladdin Slave one Congolese Lego box Value vet, poor man's pediatrics, Tom and Tony's discount obgyn. Toms petty Hufflepuff Judas Uncle Tambien 810 Comic Strips Lex- apro Pinky used to be a proctologist Pokemon stay Chinese mustard in a mayonnaise bottle Sweet n sour chicken on a hot dog bun. | Laughing skull 5/17/2023 Blue pee Spermologist Slave one Creepy Alladin Strip club grocery store Astrojizzicist All intensive oligarchy Still time? Ex wife screamachu. | Tight 5 Blue pee Grown up emo kid Blow thru a straw Pokemon please stay Gonna get her back Screamachu All intensive purposes. | Slave one tag Boba Fett's uncle Rick who got locked up the year Reagan ran for reelection. | Lakeside 5/16/23 Eye clit Blue pee Dickades ^ Conjoined twins Conjoined step brothers. | Blow thru a straw. | Blue pee. | So blue. | Slave one. | Creepy Aladdin."
J0002,Kristopher Reeves are you the actor who played Superman? Yes the stem cells worked. Just had to snort em.,47,17,100,Bill Burr,PG-ish,short,pop culture | work/money,observational,Cup of Kava (10 min) | Cup of Kava set | Dive Motel Birthday Show headlining set. | East room open mic | Garage sale vintage/ Third Coast | Good People Lounge 30 minutes | Good People set (15 min) | Killjoy Show | Lucky Duck 9/22/22 | Music Row Comedy Show | Nashville All Stars 8 min (CLEAN) | Perfect Timing may 18 | Plane Jane set (10 min) | Shelbyville 15 minutes | Smokes n Jokes 5 min | Stoned Cold Sober set | Superhero set (5 min) | The Lab 10/2/24 | The lab Sep 25,"Kristopher Reeves are you the actor who played Superman? Yes the stem cells worked. Just had to snort em. | The stem cells worked My name is Kristopher Reeves, and Yes, I am the quadriplegic actor who played Superman on the 80s. The stem cells worked! | Lean back in your chair and put this straw in your mouth. I'll take a picture. | You look more like Christopher Reeve than me. Put that straw in your mouth and lean back. | Put this straw in your mouth and lean back. Lemme take a picture. | You look more like Christopher Reeve than I do. | Welcome, Kris Raves Chris Reeves stem cells worked. | Straw in your mouth and lean back. | Kris Reeves/ the stem cells worked. | Superman Stem cells worked. | The stem cells worked. | Super Stem Cells. | Superman stem cells. | Smoking stem cells. | Nothing like Superman. | Kristopher Reeves. | Stem cells."
J0003,Any Edgar Allen Hoes here tonight?,47,17,100,Nikki Glaser,PG-ish,short,dating/sex,relationship | personal,Bowery Vault 8/16/23 | Cup of Kava (10 min) | Cup of Kava set | Dirty Mic/Lab Rat Sep 4 2024 | Dive Motel Birthday Show headlining set. | Dive motel 10 min set | Good People Lounge 30 minutes | Good People set (15 min) | Killjoy Show | Lowbar Feb 26 | Music Row Comedy Show | Plane Jane set (10 min) | Shelbyville 15 minutes | Standup Showcase 8 min | Stoned Cold Sober set | Superhero set (5 min),"Any Edgar Allen Hoes here tonight? | My last girlfriend was an Edgar Allen Hoe. | Last girlfriend was an Edgar Allen Hoe. | Ex was a real Edgar Allen Hoe. | Called her My little Edgar Allen hoe. | Edgar Allen hoes here? | Toxic women. Spooky bitches love me. | Like em spooky/ Edgar Allen Hoe. | Witches, spooky bitches, Edgar Allen hoes. | Start seeing Spooky bitches soon. | Spooky bitches/Edgar Allen hoes. | Spooky Bitches/Edgar Allen Hoe. | I love spooky bitches. | Edgar Allen Hoes. | Edgar Allen how. | Spooky bitches. | Spooky witches."
J0004,Delta Eh't? Delta what? Delta eh't?,40,9,100,Mitch Hedberg,PG-ish,short,misc/observational,observational,"Bathroom set (4 min) | Cup of Kava (10 min) | Cup of Kava set | Dirty Mic/Lab Rat Sep 4 2024 | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Good People set (15 min) | Greenlight (project, sing) | Killjoy Show | Perfect Timing may 18 | Shelbyville 15 minutes | Smokes n Jokes 5 min",Delta Eh't? Delta what? Delta eh't? | ThcA Delta 8 sex Honey. | ThcA Delta 8 royal honey. | Delta 8/THCeh? | ThcA Delta 8. | Delta Eh'T. | THCeh Delta 8. | Royal honey. | THCeh.
J0005,"This is Halloween, who gets custody? This is Halloween, every other Halloween... This is Halloween, this is Halloween Pumpkins scream in the dead of night This is Halloween, everybody make a scene.",40,10,100,Anthony Jeselnik,R / club material,medium,true crime/dark | body/medical,dark,Cup of Kava (10 min) | Cup of Kava set | Dirty Mic/Lab Rat Sep 4 2024 | Dive Motel Birthday Show headlining set. | Dive motel 10 min set | Good People Lounge 30 minutes | Good People set (15 min) | Killjoy Show | Music Row Comedy Show | Perfect Timing may 18 | Plane Jane set (10 min) | Shelbyville 15 minutes | Standup Showcase 8 min | Stoned Cold Sober set | Superhero set (5 min),"This is Halloween, who gets custody? This is Halloween, every other Halloween... This is Halloween, this is Halloween Pumpkins scream in the dead of night This is Halloween, everybody make a scene. | This is Halloween who gets custody tag (quietly) Poor girl... | Halloween Halloween every other Halloween... Poor girl. | This is Halloween who gets custody. | This is Halloween tag poor girl. | Halloween Halloween every other Halloween. | Every other Halloween. | This is Halloween closer. | This is halloween. | Halloween Custody."
J0006,"If you see a little metal box, don't open it.",39,7,100,Mitch Hedberg,PG-ish,short,misc/observational,observational,"Bathroom set (4 min) | Cup of Kava (10 min) | Cup of Kava set | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Good People set (15 min) | Greenlight (project, sing) | Music Row Comedy Show | Nashville All Stars 8 min (CLEAN) | Perfect Timing may 18 | Plane Jane set (10 min) | Shelbyville 15 minutes | Smokes n Jokes 5 min | Standup Showcase 8 min | Stoned Cold Sober set | The lab Sep 25 | Third Coast 4 min | Third coast 11/18","If you see a little metal box, don't open it. | Little metal box/ so blue/ put the fetus. | Little black box don't open it. | Little metal box. | Fetus/ why is it so blue. | Fetus so blue. | Fetus box."
J0007,810 tag Math boobs Gotta wear an Alge-bra I'm an A+B=C cup.,38,12,100,Anthony Jeselnik,PG-ish,short,misc/observational | pop culture | dating/sex | family | technology,observational | personal,Comedy Caravan 10/19/22 | Dive Motel Birthday Show headlining set. | Killjoy Show | Lucky Duck 9/22/22 | Plane Jane set (10 min) | Third coast roast the host | Third Coast | Garage sale vintage/ Third Coast | The Lab 10/2/24,"810 tag Math boobs Gotta wear an Alge-bra I'm an A+B=C cup. | Billy idol and bad Bunny had a baby 810 Clitortoise Copper IUD Pokemon please stay Peter pan syndrome Gender neutral bathrooms Book of Escobar Helen Keller learning to play piano. | 810 Cats meow Women's combat sports Second stage bipolar Dick pic gains Value vet Disney didn't want to havr to explain slavery to kids. | 810 Tag Nah I don't know what it equals, I suck at math. | Billy idol and bad Bunny had a baby. | 810 - 0 goes to 9 back to 0. | 810 tag It's my credit score. | 810 algebra a+b=c cup. | Math boobs. | 810 Boobs. | 810. | Algebra."
J0008,Spermologist jizzicist jizzicians assistant.,34,10,100,Mitch Hedberg,PG-13,short,misc/observational,observational,5 spot Halloween 10/16/22 | Comedy Caravan 10/19/22 | Cup of Kava set | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Imported laughs sep 17 2022 BG KY | Lakeside 9/20/2022 | Lucky Duck 9/22/22 | Mouthhole | PB Backyard 10/4/22 | Perfect Timing may 18 | Shelbyville 15 minutes,Spermologist jizzicist jizzicians assistant. | Spermologist/cum again/jizzicist. | Spermologist\Jizzicist\Jizzician. | Gf is a Spermologist. | Spermologist/Jizzicist. | Pluto Astrojizzicist. | Spermologist jizziciat. | Pluto atrojizzicist. | Jizzicist. | Jizzician.
J0009,Favorite movie was the Nightmare before the Christmas that her parents broke up.,29,8,100,Nikki Glaser,PG-ish,short,dating/sex | family | pop culture,relationship | personal,Bowery Vault 8/16/23 | Cup of Kava (10 min) | Cup of Kava set | Dirty Mic/Lab Rat Sep 4 2024 | Dive Motel Birthday Show headlining set. | Good People Lounge 30 minutes | Good People set (15 min) | Killjoy Show | Perfect Timing may 18 | Plane Jane set (10 min) | Shelbyville 15 minutes | Standup Showcase 8 min | Stoned Cold Sober set | Superhero set (5 min),"Favorite movie was the Nightmare before the Christmas that her parents broke up. | My girlfriend is an one of these Edgar Allen Hoes. Her favorite movie is the nightmare before the Christmas that her dad left, but I love her tho. | Her favorite movie is the nightmare before the Christmas her Dad left. | Favorite movie was the nightmare before the Christmas her Dad left. | Nightmare before the Christmas that her mom and dad got divorced. | Nightmare before the Christmas that her parents got divorced. | Nightmare before the Christmas that her dad left. | Nightmare before the Christmas."
J0010,"He was handsome I look like a bisexual backstreet boy. Singing ""I want it that way...but this way's cool, too.""",19,7,100,Nikki Glaser,R / club material,short,dating/sex | pop culture,relationship | personal,"Bathroom set (4 min) | Cup of Kava (10 min) | Dirty Mic/Lab Rat Sep 4 2024 | East room open mic | Garage sale vintage/ Third Coast | Good People set (15 min) | Greenlight (project, sing) | Lowbar Feb 26 | Plane Jane set (10 min) | The Lab 10/2/24 | The lab Sep 25","He was handsome I look like a bisexual backstreet boy. Singing ""I want it that way...but this way's cool, too."" | Bisexual backstreet boy. I want it that way, but this way is nice, too. | Bisexual backstreet boy I want it both ways. | Not as handsome bisexual backstreet boy. | Bisexual backstreet boy/ bi blue eyes. | Bisexual Backstreet boy. | Bisexual backstreet."
